ath:AT5G02070	PF00069,PF07714,PF13947
ath:AT3G29255	PF00432,PF09492,PF13243,PF13249
ath:AT2G40475	PF05097,PF10500
ath:AT1G34805	PF01826
ath:AT5G53740	PF05617
ath:AT5G39330	PF06651
ath:AT1G51520	PF00076,PF13893,PF14259
ath:AT3G20320	PF02470,PF06008
ath:AT5G27920	PF12799,PF13516,PF13855
ath:AT4G32500	PF00023,PF00027,PF00520,PF07885,PF11834,PF12796,PF13606,PF13637,PF13857
ath:AT3G60380	PF05553
ath:AT1G16710	PF00569,PF00628,PF02135,PF08214
ath:AT1G11785	PF06170
ath:AT1G73210	PF05623
ath:AT3G12870	PF13334
ath:AT1G01140	PF00069,PF01636,PF03822,PF06293,PF07714,PF14531
ath:AT2G22425	PF03203,PF05884,PF06645,PF10914
ath:AT1G64220	PF08038,PF10500
ath:AT2G04378	PF05510
ath:AT5G53742	PF05617
ath:AT5G49610	PF00646,PF12937
ath:AT5G35695	PF01609,PF04827,PF13359,PF13586
ath:AT5G12350	PF00415,PF01363,PF02183,PF07851,PF08381,PF10422,PF12718,PF12814,PF13094,PF13514,PF13540,PF13713,PF15035
ath:AT1G65760	PF00646,PF03478,PF12937
ath:AT1G24485	PF11721,PF12819
ath:AT3G08740	PF01132,PF08207,PF09285
ath:AT1G78460	PF04832
ath:AT5G20120	PF07690
ath:AT5G03406	PF00587,PF01409,PF13393
ath:AT4G14455	PF05739,PF06255,PF07902
ath:AT2G31690	PF01764,PF05057,PF05990,PF07819,PF10230,PF11187,PF12695,PF12697
ath:AT1G15380	PF00903,PF12681,PF13669
ath:AT5G09876	PF06861,PF09232
ath:AT4G31170	PF00069,PF01636,PF07714,PF14531
ath:AT4G05350	PF00097,PF11789,PF11793,PF12678,PF12861,PF12906,PF13445,PF13639,PF13920,PF13923,PF14570,PF14634
ath:AT2G35010	PF00085,PF13098,PF13728,PF13899,PF13905,PF14595
ath:AT2G01910	PF03999,PF13949
ath:AT4G18050	PF00004,PF00005,PF00006,PF00270,PF00503,PF00664,PF01935,PF02463,PF03193,PF03205,PF05673,PF06414,PF07728,PF09818,PF13175,PF13191,PF13207,PF13238,PF13304,PF13401,PF13555,PF13558,PF13604
ath:AT3G61600	PF00651,PF07707
ath:AT3G52610	PF01015,PF04512,PF07247
ath:AT2G41970	PF00069,PF07714
ath:AT2G23600	PF00326,PF00561,PF01764,PF03283,PF05057,PF06259,PF06821,PF07819,PF12695,PF12697
ath:AT5G56050	PF10031,PF14927
ath:AT5G22950	PF01418,PF01920,PF03357,PF04837,PF07106,PF07631,PF08279,PF13443,PF14833
ath:AT4G19590	PF00226,PF09770
ath:AT1G20730	PF05742
ath:AT3G15180	PF10508
ath:AT5G65158	PF01477
ath:AT5G44640	PF00232
ath:AT4G01710	PF04699,PF09384
ath:AT1G33430	PF01762,PF02434,PF13334
ath:AT2G37840	PF00069,PF01636,PF06293,PF07714,PF10707,PF14531
ath:AT3G11220	PF05625,PF07377
ath:AT1G60790	PF13839,PF14416
ath:AT5G66330	PF00560,PF08263,PF12799,PF13516,PF13855
ath:AT5G26594	PF00072,PF11675
ath:AT5G18820	PF00118
ath:AT4G23400	PF00230,PF06577
ath:AT3G51280	PF00515,PF07719,PF07721,PF12895,PF13174,PF13176,PF13181,PF13371,PF13374,PF13414,PF13424,PF13428,PF13432,PF14559
ath:AT3G25460	PF00646,PF07734,PF12937
ath:AT1G07610	PF01439
ath:AT1G47670	PF01490
ath:AT3G03770	PF00069,PF00560,PF03109,PF07714,PF12799,PF13855
ath:AT2G45610	PF00135,PF07859,PF12695,PF12740
ath:AT1G15385	PF05553,PF12506
ath:AT1G29300	PF04859
ath:AT1G55120	PF00251,PF08244
ath:AT5G58880	PF03464
ath:AT4G36100	PF00995,PF01784,PF04859
ath:AT4G15950	PF03874
ath:AT3G47150	PF00646,PF08268,PF12937
ath:AT2G22590	PF00201,PF04101,PF13528
ath:AT2G04220	PF05910
ath:AT2G30040	PF00069,PF07714
ath:AT1G69360	PF05904
ath:AT5G11020	PF00069,PF01636,PF07714,PF14531
ath:AT4G37640	PF00122,PF00689,PF00690,PF00702,PF08282,PF12515,PF12710,PF13246
ath:AT4G22070	PF03106,PF07716
ath:AT4G13080	PF00722,PF06955
ath:AT4G00380	PF03468,PF03469,PF03470,PF04866
ath:AT1G06280	PF03195
ath:AT2G44280	PF13347
ath:AT5G51080	PF00075,PF13456
ath:AT5G25260	PF01145
ath:AT5G03570	PF06963
ath:AT3G29100	PF03908,PF05008,PF05478,PF12352,PF12575
ath:AT3G03773	PF04969
ath:AT2G18460	PF04367
ath:AT1G19025	PF00753,PF01795,PF07522,PF12706
ath:AT2G40320	PF13839,PF14416
ath:AT1G20735	PF00646
ath:AT3G21820	PF00856,PF01753,PF09328
ath:AT2G32870	PF00917
ath:AT1G74710	PF00425
ath:AT2G01918	PF05757,PF09577
ath:AT5G13850	PF00627,PF01849,PF14812
ath:AT1G07615	PF00005,PF00025,PF01018,PF01926,PF02421,PF03308,PF08438,PF13207,PF13238
ath:AT1G02640	PF00933,PF01915,PF14310
ath:AT1G11630	PF01535,PF06239,PF12854,PF12895,PF13041,PF13432,PF13812
ath:AT3G06080	PF13839,PF14416
ath:AT4G15955	PF00561,PF00756,PF07224,PF07859,PF12146,PF12695,PF12697,PF12740
ath:AT3G57750	PF00069,PF07714,PF12260
ath:AT1G24330	PF04564,PF04826,PF05804,PF11789,PF15227
ath:AT1G64390	PF00759,PF09478
ath:AT1G16880	PF01842,PF13291
ath:AT2G14820	PF00651,PF03000
ath:AT3G02120	PF05032
ath:AT1G51690	PF00400
ath:AT5G57230	PF00085,PF13848
ath:AT5G09720	PF06103
ath:AT4G32670	PF12906,PF13639
ath:AT4G14300	PF00076,PF07292,PF13893,PF14259
ath:AT1G73380	PF07000
ath:AT3G16360	PF01535,PF01627,PF12711
ath:AT5G65000	PF00892,PF04142,PF13536
ath:AT5G49780	PF00069,PF00560,PF04478,PF07714,PF10624,PF12799,PF13504,PF13516,PF13855
ath:AT4G27000	PF00076,PF08777,PF13893,PF14259,PF14605
ath:AT2G18465	PF00226
ath:AT5G20290	PF01201
ath:AT5G11027	PF00189
ath:AT4G28540	PF00069,PF01636,PF06293,PF07714,PF14531
ath:AT5G16160	PF04502,PF06936,PF09139
ath:AT3G12720	PF00249,PF13921
ath:AT5G12200	PF01472,PF01979,PF04909,PF07969,PF09285,PF13147,PF13594
ath:AT4G24900	PF14968
ath:AT3G61770	PF01569,PF02681
ath:AT3G52780	PF00149,PF09423,PF09937,PF12850,PF14008
ath:AT2G23770	PF00069,PF01476,PF01681,PF02480,PF02883,PF05308,PF06697,PF07714
ath:AT1G65610	PF00759
ath:AT3G02125	PF11696,PF14679
ath:AT5G52260	PF00249,PF09047,PF13921
ath:AT5G04750	PF12747
ath:AT4G14305	PF04117
ath:AT3G56100	PF00069,PF00560,PF02480,PF03109,PF05393,PF07204,PF07714,PF08263,PF11837,PF12799,PF13516,PF13855,PF13908
ath:AT3G26960	PF01190
ath:AT3G11390	PF00130,PF03107,PF07649
ath:AT1G78310	PF03261,PF05678
ath:AT2G31540	PF00657,PF06254,PF13472
ath:Arthcp087	PF05758
ath:AT5G65005	PF13456,PF14813
ath:AT5G18990	PF01095
ath:AT4G31020	PF00326,PF00561,PF02230,PF03959,PF05677,PF07859,PF08840,PF12146,PF12695,PF12697
ath:AT4G01880	PF05206,PF05253,PF08242,PF11722,PF13679,PF13847
ath:AT1G79850	PF00366
ath:AT1G55290	PF03171,PF05414,PF14226
ath:AT1G07780	PF00697
ath:AT2G05720	PF00400
ath:AT4G36270	PF13589
ath:AT4G23570	PF00515,PF04969,PF05002,PF07719,PF12895,PF13181,PF13371,PF13414,PF13424,PF13428,PF13431,PF13432,PF14039,PF14559
ath:AT4G05200	PF00069,PF01636,PF01657,PF06293,PF07714,PF08693,PF14610
ath:AT1G29470	PF03141,PF07423,PF08241,PF12847,PF13489
ath:AT2G27410	PF03754
ath:AT2G19960	PF05699
ath:AT2G41820	PF00069,PF00560,PF07714,PF08263,PF12799,PF13516,PF13855
ath:AT3G07260	PF00498
ath:AT5G22800	PF01411,PF02272,PF07973
ath:AT5G11190	PF00847,PF01947
ath:AT4G19440	PF01535,PF12854,PF13041,PF13812
ath:AT2G04390	PF00833
ath:AT3G15030	PF03634
ath:AT5G62860	PF00646,PF08268
ath:AT5G48450	PF00394,PF07731,PF07732
ath:AT4G01883	PF03364,PF10604
ath:AT2G17090	PF00069,PF02813,PF07714,PF11678,PF13414
ath:AT1G60640	PF12171,PF12756,PF12874
ath:AT2G26080	PF00266,PF01212,PF02347
ath:AT5G07060	PF00076,PF00642,PF01363,PF14259
ath:AT3G51130	PF03676
ath:AT3G29270	PF00097,PF01363,PF13445,PF13639,PF13920,PF13923,PF14634,PF15227
ath:AT2G40490	PF01208,PF09280
ath:AT1G34820	PF01826
ath:AT3G03620	PF01554
ath:AT5G58730	PF00294
ath:AT4G15800	PF05498
ath:AT1G56510	PF00004,PF00005,PF00158,PF00931,PF01582,PF01637,PF02562,PF03215,PF05729,PF07725,PF08937,PF12799,PF13173,PF13191,PF13207,PF13238,PF13401,PF13676,PF13855,PF14532
ath:AT1G74880	PF11910
ath:AT5G43160	PF04484
ath:AT4G00230	PF00082,PF02225,PF05922
ath:AT3G47000	PF00933,PF01915
ath:AT1G06130	PF00753,PF12706
ath:AT3G02290	PF00097,PF11789,PF11793,PF12678,PF12861,PF13445,PF13639,PF13920,PF13923,PF14634,PF15227
ath:AT1G69210	PF02576
ath:AT3G17860	PF06200,PF06203,PF09425
ath:AT5G09890	PF00069,PF00433,PF01636,PF07387,PF07714,PF14531
ath:AT5G03420	PF00038
ath:AT4G15802	PF00103,PF00509,PF01580,PF02185,PF04513,PF05121,PF05440,PF05791,PF06103,PF06705,PF06825,PF07439,PF09903,PF10046,PF12841,PF15070
ath:AT4G00231	PF09759
ath:AT2G04395	PF02765
ath:AT3G11397	PF01148,PF03208
ath:AT2G44130	PF00646,PF01344,PF07646,PF12937,PF13415,PF13418,PF13854,PF13964
ath:AT2G36680	PF04111,PF07200,PF09457,PF09480,PF13393,PF15005
ath:AT5G25110	PF00069,PF01163,PF01636,PF03822,PF06293,PF07714,PF14531
ath:AT4G27170	PF00234,PF14368
ath:AT4G00232	PF01785,PF04504,PF11022
ath:AT2G32720	PF00173
ath:AT5G65170	PF05678
ath:AT5G61210	PF00835,PF05739,PF08614,PF12352
ath:AT5G39350	PF01535,PF12854,PF13041,PF13431,PF13812
ath:AT5G17660	PF01135,PF02390,PF05175,PF08241,PF08242,PF12847,PF13489,PF13649,PF13659,PF13847
ath:AT5G13700	PF00070,PF00743,PF00890,PF01134,PF01266,PF01488,PF01494,PF01593,PF01946,PF03486,PF07992,PF12831,PF13450,PF13454,PF13738
ath:AT3G44900	PF00999,PF11943
ath:AT1G34825	PF01826
ath:AT1G50000	PF04452
ath:AT5G53760	PF03094
ath:AT3G57600	PF00847,PF14232
ath:AT3G20340	PF14009
ath:AT1G51540	PF01344,PF07646,PF07893,PF13415,PF13418,PF13964
ath:AT2G46960	PF00067,PF07796
ath:AT5G27940	PF13847,PF13943
ath:AT4G32520	PF00266,PF00464,PF01212,PF15204
ath:AT1G73230	PF00176,PF00406,PF01849,PF03265
ath:AT3G12890	PF06203
ath:AT1G01160	PF05030
ath:AT5G49630	PF01490
ath:AT5G12370	PF07393,PF08318,PF11172
ath:AT3G56270	PF05701,PF13990
ath:AT1G78480	PF00432,PF13243,PF13249
ath:AT2G28910	PF00098,PF13917,PF14392
ath:AT3G16210	PF00646,PF07734,PF12937
ath:AT1G65780	PF00004,PF01443,PF04851,PF13086,PF13087,PF13245
ath:AT3G08760	PF00069,PF07714
ath:AT5G20140	PF04832,PF10184
ath:AT2G35030	PF01535,PF12854,PF13041,PF13812,PF14559,PF14689
ath:AT2G06904	PF00098
ath:AT4G05370	PF04138,PF11506,PF14363
ath:AT4G00238	PF04504
ath:AT2G01930	PF06217
ath:AT1G06137	PF12113
ath:AT2G27580	PF01428,PF01754,PF05308,PF10152
ath:AT5G56070	PF01777
ath:AT5G27944	PF00319,PF15044
ath:AT5G16010	PF02544,PF04191,PF06966
ath:AT5G08560	PF00400,PF08662
ath:AT4G18070	PF04499,PF04502,PF10500
ath:AT3G61620	PF01138,PF03725
ath:AT3G52630	PF08661
ath:AT2G41990	PF03168
ath:AT2G06906	PF00418,PF09465
ath:AT2G23620	PF00326,PF00561,PF01764,PF06057,PF06821,PF07819,PF10230,PF12695,PF12697
ath:AT5G52110	PF11152,PF13185,PF14209
ath:AT5G27945	PF00400,PF08662
ath:AT5G22970	PF02900
ath:AT5G04600	PF00076,PF13893,PF14259,PF14605
ath:AT3G26810	PF00646,PF12937
ath:AT1G19040	PF02365
ath:AT1G20750	PF06733,PF13307
ath:AT5G44660	PF02868
ath:AT4G01730	PF01529,PF13903
ath:AT3G48500	PF00575
ath:AT3G11240	PF04376,PF04377,PF13490
ath:AT1G07630	PF00481,PF13672
ath:AT3G03790	PF00023,PF00415,PF07569,PF12796,PF13540,PF13606,PF13637,PF13857
ath:AT1G42440	PF04950,PF08142
ath:AT2G37860	PF11891
ath:AT1G79700	PF00847
ath:AT1G55140	PF00636
ath:AT5G66350	PF00983,PF05142
ath:AT5G18840	PF00083,PF06779,PF07690
ath:AT4G23420	PF00106,PF01370,PF05368,PF08659,PF13398,PF13460,PF13561
ath:AT3G25480	PF00581,PF00902
ath:AT2G45630	PF00389
ath:AT3G07110	PF00572
ath:AT1G56680	PF00182,PF02810
ath:AT1G29320	PF00400,PF07494,PF13360
ath:AT4G36120	PF05911
ath:AT4G15970	PF03407
ath:AT3G47170	PF02458,PF06122
ath:AT1G69380	PF02582
ath:AT2G19810	PF00642
ath:AT2G35035	PF01774,PF03780
ath:AT2G04240	PF00097,PF11789,PF11793,PF11928,PF12678,PF12861,PF12906,PF13445,PF13639,PF13920,PF13923,PF14446,PF14570,PF14634,PF15227
ath:AT2G30060	PF00568,PF00638
ath:AT5G62710	PF00069,PF00560,PF01636,PF05545,PF07714,PF08263,PF11837,PF12799,PF13855,PF14531
ath:AT5G48300	PF00132,PF00483,PF12804
ath:AT5G11040	PF08626,PF13424
ath:AT5G03590	PF00657
ath:AT4G37660	PF00542,PF01504,PF03717,PF10236
ath:AT4G31196	PF02738
ath:AT4G22090	PF00544,PF05048,PF12708,PF13229
ath:AT5G56075	PF06194,PF10354
ath:AT5G08565	PF06093,PF07965
ath:AT3G21840	PF01466,PF03931,PF07905,PF14300,PF14308
ath:AT2G18480	PF00060,PF00083,PF07690,PF13347
ath:AT2G40340	PF00847,PF06597
ath:AT4G01735	PF02401
ath:AT1G10110	PF03478
ath:AT2G41997	PF01097
ath:AT1G74730	PF06549,PF13903
ath:AT5G61380	PF00072,PF03247,PF06203
ath:AT5G43010	PF00004,PF00005,PF00158,PF00910,PF01057,PF01078,PF01637,PF01695,PF02367,PF02562,PF04048,PF04851,PF05496,PF05673,PF05729,PF06068,PF06414,PF06745,PF07724,PF07726,PF07728,PF07926,PF13086,PF13173,PF13191,PF13207,PF13238,PF13245,PF13401,PF13479,PF13481,PF13521,PF13604,PF13671,PF13863,PF14532
ath:AT5G13870	PF00722,PF06955
ath:AT1G48910	PF00070,PF00743,PF00890,PF01134,PF01266,PF01488,PF01494,PF01946,PF02826,PF03486,PF07992,PF13241,PF13434,PF13450,PF13738
ath:AT1G24350	PF01569,PF02681,PF04279
ath:AT1G50170	PF01903,PF06180
ath:AT3G17710	PF00646,PF07734,PF12937
ath:AT1G02660	PF00975,PF01764,PF05649
ath:AT1G11650	PF00076,PF04847,PF08777,PF13893,PF14259,PF14605
ath:AT3G02140	PF07897
ath:AT5G35560	PF02141,PF03455,PF03456,PF08616
ath:AT4G15975	PF00097,PF02977,PF05883,PF07975,PF11789,PF11793,PF12452,PF12678,PF12861,PF12906,PF13445,PF13639,PF13920,PF13923,PF14446,PF14570,PF14634
ath:AT3G57770	PF00069,PF01636,PF07714,PF12260
ath:AT5G57250	PF01535,PF10037,PF10602,PF12854,PF12895,PF13041,PF13414,PF13812
ath:AT5G09740	PF00385,PF00583,PF01853,PF07231,PF08279,PF11717,PF13508
ath:AT4G32690	PF01152
ath:AT4G14320	PF00935
ath:AT3G16380	PF00076,PF07884,PF08777,PF13893,PF14259
ath:AT2G36530	PF00113,PF03952,PF05880,PF07476,PF13378
ath:AT3G17712	PF08424,PF14559
ath:AT5G65020	PF00191,PF01563
ath:AT5G40910	PF00004,PF00005,PF00560,PF00931,PF01582,PF04665,PF05729,PF07725,PF12799,PF13173,PF13191,PF13207,PF13238,PF13401,PF13676,PF13855
ath:AT5G17510	PF15249
ath:AT4G28560	PF12799,PF13516,PF13855
ath:AT5G53610	PF07983
ath:AT2G46810	PF00010
ath:AT5G21326	PF00069,PF01636,PF02149,PF03822,PF06293,PF07387,PF07714,PF08529,PF14531
ath:AT5G16180	PF01985
ath:AT3G60250	PF01214
ath:AT3G12740	PF03381
ath:AT5G12220	PF04031
ath:AT4G24920	PF00584,PF11190
ath:AT3G61790	PF03145,PF06787,PF07191,PF13920,PF13923
ath:AT2G23790	PF04678
ath:AT1G01010	PF02365,PF11512
ath:AT1G65630	PF00089,PF00595,PF02761,PF13180,PF13365
ath:AT5G52280	PF10358
ath:AT5G04770	PF00324,PF13520,PF13858,PF13906
ath:AT3G56120	PF01170,PF02005,PF02086,PF02475,PF05175,PF06325,PF09445,PF12847,PF13489,PF13659,PF13847
ath:AT3G48670	PF03468,PF03469,PF03470
ath:AT3G26980	PF00240,PF10302,PF13881
ath:AT1G15250	PF00130,PF01907,PF12773
ath:AT2G14846	PF00234,PF14368
ath:AT2G31560	PF07939
ath:AT4G31040	PF03040,PF07219
ath:AT1G79870	PF00389,PF02826
ath:AT2G27430	PF00514,PF13646,PF14455
ath:AT4G36290	PF02518,PF13589
ath:AT4G23590	PF00155,PF01212
ath:AT4G05220	PF03168,PF09771,PF13396
ath:AT1G29490	PF00644,PF02519
ath:AT2G19980	PF00188,PF13269
ath:AT2G41840	PF00333,PF03719
ath:AT5G48470	PF04693
ath:AT5G22820	PF02671
ath:AT5G08410	PF02941,PF04797
ath:AT4G19460	PF00534,PF13439,PF13524,PF13579,PF13692,PF14341
ath:AT1G20600	PF02362,PF03754,PF09429
ath:AT3G15050	PF00612
ath:AT5G62880	PF00025,PF00071,PF07205,PF08477,PF15459
ath:AT5G44510	PF00004,PF00005,PF00560,PF00931,PF01582,PF04665,PF05729,PF07725,PF12799,PF13191,PF13207,PF13238,PF13401,PF13504,PF13676,PF13855
ath:AT2G37710	PF00069,PF00139,PF01636,PF07714
ath:AT1G60660	PF00173,PF06305,PF15179
ath:AT5G66200	PF00514,PF01602,PF05659,PF13646
ath:AT5G07080	PF02458
ath:AT3G51150	PF00225,PF11995,PF14851
ath:AT3G29290	PF00566,PF01535,PF12854,PF12895,PF13041,PF13812
ath:AT3G03640	PF00232,PF03797
ath:AT1G34840	PF01826,PF09467
ath:AT1G10280	PF02485
ath:AT5G58750	PF01073,PF01370,PF05368,PF07993,PF13460
ath:AT4G15820	PF06783
ath:AT3G48675	PF05617
ath:AT3G47020	PF00646,PF08268,PF12937
ath:AT3G17880	PF00085,PF00515,PF00578,PF02064,PF07719,PF13098,PF13181,PF13371,PF13414,PF13428,PF13431,PF13432,PF13899,PF13905,PF14559,PF14595
ath:AT1G47540	PF00304,PF00537
ath:AT5G43180	PF04654
ath:AT4G37510	PF00636,PF14622
ath:AT4G00250	PF04504,PF13837
ath:AT1G06150	PF01535,PF10970,PF12854,PF13041,PF13812,PF14215
ath:AT2G44150	PF00856
ath:AT2G22460	PF04759
ath:AT5G08415	PF04055,PF11029
ath:AT5G03440	PF13259
ath:AT4G14490	PF00498,PF03058
ath:AT2G18330	PF00004,PF00910,PF01078,PF02167,PF05496,PF07728,PF12037,PF13173,PF13191,PF13207,PF13238,PF13401,PF13479,PF13481,PF13521,PF13671
ath:AT5G25130	PF00067
ath:AT5G17680	PF00004,PF00560,PF00931,PF01582,PF02156,PF03266,PF07725,PF08937,PF12799,PF13173,PF13207,PF13238,PF13306,PF13401,PF13676,PF13855
ath:AT4G27190	PF00005,PF00560,PF00931,PF01637,PF03266,PF03308,PF05673,PF05729,PF12799,PF13191,PF13207,PF13238,PF13401,PF13855
ath:AT2G32740	PF03016
ath:AT5G61230	PF00023,PF12796,PF13309,PF13606,PF13637,PF13857
ath:AT5G39370	PF01453
ath:AT5G13720	PF03350
ath:AT3G44920	PF00999,PF04407
ath:AT1G02510	PF00520,PF07885,PF10011
ath:AT1G11500	PF06653,PF06749,PF07077,PF13520,PF13903
ath:AT5G53780	PF03478
ath:AT5G35410	PF00069,PF01636,PF03822,PF06293,PF07714,PF14531
ath:AT4G10850	PF03083,PF04193,PF14126
ath:AT3G57620	PF07250,PF09118,PF13418
ath:AT3G20360	PF00917,PF10102
ath:AT1G16750	PF04784,PF07839,PF14389
ath:AT1G51560	PF01243,PF13883
ath:AT2G46980	PF05478
ath:AT1G24200	PF02671
ath:AT5G57100	PF00892,PF03151,PF04087,PF08449,PF10067
ath:AT5G43185	PF08170
ath:AT5G27960	PF00319,PF05440,PF07819
ath:AT5G12390	PF00515,PF07719,PF13174,PF13371,PF13414,PF13428,PF13432,PF14852,PF14853
ath:AT4G32540	PF00070,PF00743,PF01266,PF01494,PF01946,PF03486,PF07992,PF13434,PF13450,PF13454,PF13738
ath:AT3G42050	PF03224,PF04826,PF04869,PF11698,PF13646
ath:AT1G64260	PF03108,PF04434,PF10551
ath:AT1G73250	PF01073,PF01370,PF01983,PF02719,PF04321,PF13460
ath:AT3G16230	PF00013,PF02655,PF02834,PF10469,PF13014,PF13563
ath:AT1G01180	PF01596,PF04989,PF05711,PF13578
ath:AT5G49650	PF00370,PF02782
ath:AT3G56290	PF05349,PF11264,PF13832
ath:AT3G20362	PF12991
ath:AT2G28930	PF00069,PF01636,PF07714
ath:AT2G13360	PF00266
ath:AT5G20160	PF01248
ath:AT4G28410	PF00155,PF00266,PF01212
ath:AT2G35050	PF00069,PF00564,PF07714
ath:AT5G16030	PF02724,PF03344,PF04147,PF06459,PF11711,PF13254,PF14153
ath:AT4G05390	PF00175,PF00667,PF00970,PF08021
ath:AT3G60100	PF00285,PF03469,PF13687
ath:AT2G01950	PF00069,PF00560,PF01636,PF02480,PF07714,PF08263,PF12799,PF13516,PF13855,PF13994,PF14531
ath:AT2G06925	PF00068
ath:AT5G56090	PF02628
ath:AT5G08580	PF00036,PF10591,PF13202,PF13405,PF13499,PF13833
ath:AT3G61640	PF04290,PF04956,PF06376,PF13968
ath:AT2G23640	PF02453,PF04515
ath:AT5G22990	PF00096,PF05605,PF09538,PF13894,PF13912
ath:AT5G04620	PF00155,PF00266,PF01053
ath:AT3G26830	PF00067
ath:AT1G33470	PF00076,PF13893,PF14259,PF14605
ath:AT2G31410	PF02455,PF10186,PF13968
ath:AT2G13363	PF02172
ath:AT2G37880	PF04759
ath:AT1G15100	PF00097,PF00628,PF11789,PF11793,PF12678,PF12861,PF12906,PF13445,PF13639,PF13920,PF13923,PF14446,PF14447,PF14570,PF14634,PF15227
ath:AT1G19060	PF04776
ath:AT1G20770	PF01813
ath:AT5G44680	PF03352,PF10882,PF12022
ath:AT5G26310	PF00201,PF04101,PF06421,PF13528
ath:AT4G01750	PF03407
ath:AT3G48520	PF00067,PF12729
ath:AT3G11260	PF00046,PF01619
ath:AT1G07650	PF00069,PF00560,PF07714,PF11721,PF12799,PF12819,PF13504,PF13516,PF13855
ath:AT1G79720	PF00026,PF00964,PF14541,PF14543
ath:AT5G20165	PF06842
ath:AT5G18860	PF01156
ath:AT4G36140	PF00004,PF00005,PF00485,PF00931,PF01078,PF01582,PF01583,PF01935,PF03266,PF03308,PF04227,PF05729,PF06414,PF07725,PF08433,PF10412,PF12799,PF12846,PF13173,PF13191,PF13207,PF13238,PF13401,PF13671,PF13676,PF13855
ath:AT4G23440	PF07475,PF13191,PF13401,PF13481,PF13676
ath:AT2G45650	PF00319,PF01486,PF06698,PF10267
ath:AT3G07130	PF00149,PF09423,PF12850,PF14008
ath:AT1G29340	PF00514,PF04564,PF04826,PF05536,PF05804,PF11789,PF13646,PF15227
ath:AT2G30080	PF02417,PF02535
ath:AT4G37680	PF03006
ath:AT3G47190	PF01584,PF03171,PF14226
ath:AT2G19830	PF03357,PF06103,PF13729
ath:AT5G62730	PF00854,PF07690
ath:AT5G48320	PF00130,PF03107,PF05887,PF07649
ath:AT5G11060	PF00046,PF03789,PF03790,PF03791,PF05920,PF11569
ath:AT5G36910	PF00321,PF09276
ath:AT3G51000	PF00561,PF05448,PF07224,PF12146,PF12695,PF12697,PF12740
ath:AT3G21860	PF01466,PF03931,PF10294,PF14300
ath:AT2G40360	PF00400,PF08145
ath:AT5G58600	PF13839,PF14416
ath:AT4G37682	PF07173
ath:AT3G43550	PF00657,PF14119
ath:AT1G10130	PF00122,PF00689,PF00690,PF00702,PF08282,PF12710,PF13246,PF13419
ath:AT1G74750	PF01535,PF06239,PF12854,PF13041,PF13812
ath:AT1G33475	PF13774
ath:AT1G50190	PF00130,PF03107,PF07649
ath:AT1G02680	PF00808,PF02269
ath:AT5G43030	PF00130,PF00628,PF03107,PF07649
ath:AT5G13890	PF04819
ath:AT4G00100	PF00312,PF08069
ath:AT3G02160	PF07524
ath:AT1G48930	PF00759,PF09478
ath:AT2G22310	PF00443,PF09153,PF13423
ath:AT3G17730	PF00642,PF02365,PF08574,PF12225
ath:AT1G06000	PF00201
ath:AT1G11670	PF01554
ath:AT5G57270	PF02485,PF12669
ath:AT5G35580	PF00069,PF02372,PF07714,PF08309,PF12389
ath:AT5G09760	PF01095,PF04043
ath:AT4G29910	PF00004,PF01637,PF13173,PF13191,PF13401,PF13521,PF14630
ath:AT3G57790	PF00295,PF12708,PF13229
ath:AT2G44000	PF03168,PF12794,PF13755
ath:AT2G14860	PF04117
ath:AT4G27040	PF04157,PF05600,PF07862
ath:AT4G14340	PF00069,PF01636,PF05445,PF06293,PF07714
ath:AT2G36550	PF03031
ath:AT5G65040	PF04570,PF10170
ath:AT5G40930	PF06552,PF13174,PF13414
ath:AT5G17530	PF02878,PF02879,PF02880,PF03880
ath:AT4G28580	PF04778,PF09523,PF09842,PF14022
ath:AT3G21865	PF04612
ath:AT5G39220	PF00326,PF00561,PF03096,PF05576,PF12695,PF12697
ath:AT4G14342	PF07189
ath:AT1G51410	PF00106,PF01073,PF01370,PF05368,PF07993,PF08659,PF13460
ath:AT1G03900	PF07933
ath:AT2G46830	PF00249,PF13921
ath:AT3G20210	PF00497,PF01650,PF02519
ath:AT5G27810	PF00319,PF07118
ath:AT3G60270	PF00127,PF02298,PF07174,PF09606
ath:AT3G12760	PF00627,PF03556,PF14555
ath:AT1G01030	PF02362,PF03754
ath:AT1G64110	PF00004,PF00005,PF00158,PF00308,PF00910,PF01057,PF01078,PF01695,PF01745,PF02367,PF05496,PF05673,PF05729,PF06068,PF06414,PF07724,PF07726,PF07728,PF13086,PF13173,PF13191,PF13207,PF13238,PF13245,PF13401,PF13479,PF13481,PF13521,PF13671,PF14532
ath:AT1G73100	PF00856,PF02182,PF05033
ath:AT5G49500	PF00448,PF02492,PF02881,PF02978
ath:AT5G12240	PF11958
ath:AT4G24940	PF00899,PF05237
ath:AT1G65650	PF00542,PF01088,PF03662,PF07072
ath:AT3G08630	PF11891
ath:AT5G20010	PF00005,PF00025,PF00071,PF00735,PF00910,PF03205,PF04665,PF05729,PF06745,PF08477,PF13401,PF13479,PF13671
ath:AT3G56140	PF04187,PF11891
ath:AT3G48690	PF00135,PF07859,PF10340,PF12695,PF12697,PF12740
ath:AT1G15270	PF08297,PF09072
